爺が背	ヒザラガイの別名。
似我蜂	１ 膜翅 (まくし) 目ジガバチ科の昆虫。体長約2センチで体は黒色、膨らんだ腹の基部は赤色。地面に巣穴を掘り、ヨトウムシやシャクトリムシなどを狩って取り込み、これに産卵して幼虫のえさにする。翅 (はね) を動かす音がジガジガと聞こえる。すがる。腰細蜂 (こしぼそばち) 。《季 春》２ ジガバチ科の昆虫の総称。体は中形で黒色、腹の付け根は細い。地中や竹筒に巣を作り、小昆虫を狩って幼虫のえさとする。ジガバチ・ツチスガリ・アナバチなど。
地蜘蛛	ジグモ科のクモ。体長約1.5センチ、暗褐色で斑紋はない。樹木の下部に細長い袋状の巣を地下に向かって作り、虫などを袋越しに捕らえ、巣の中へ引き入れて食べる。日本・台湾などに分布。穴蜘蛛・土蜘蛛・袋蜘蛛など別名が多い。
地鷸	オオジシギ・チュウジシギなどの総称。
ジストマ	吸虫の旧称。二口虫。
慈鳥	カラスの別名。
地鼠	トガリネズミ科の哺乳類。体長8センチ、尾長6センチくらいで、灰褐色。ネズミに似るが、吻 (ふん) がとがる。ほぼ日本全域に分布し、森林・草地・畑などにすみ、昆虫・ミミズなどを食べる。夜行性。近縁種はヨーロッパ・アフリカ・アジアに分布。
地蚤	キボシマルトビムシの別名。ナス・ウリ・トマト畑に大発生することがある。
地蜂	クロスズメバチの別名。《季 春》
慈悲心鳥	ジュウイチの別名。鳴き声を「慈悲心」と聞きなしていう。《季 夏》
地潜	ナミヘビ科の爬虫 (はちゅう) 類。日本特産の無毒の蛇。全長0.8～1.2メートル。背面は灰褐色または赤褐色で、腹面に黒斑が市松模様に並ぶ。胴部に小黒点が散在する。低山地の森林や耕地に多く、野ネズミなどを捕食する。じもぐり。
地潜蛙	ヒメアマガエル科の両生類。頭は小さく、体はずんぐりしている。背面は青みを帯びた黄色で、頭と体の側面に淡黒色の斑紋がある。朝鮮半島に分布。じもぐりがえる。
地虫	コガネムシ科の昆虫の幼虫の総称。体は乳白色または黄褐色の円筒形で、C字状に曲がる。頭は褐色。地中で植物の根などを食する。また、ケラなど地中にすむ昆虫をいうこともある。
ジャイアントパンダ	⇒パンダ1
ジャガー	ネコ科の哺乳類。ヒョウに似るが、全体にずんぐりとして頭が大きく、斑紋も大形で、尾はやや短い。メキシコから南アメリカにかけての森林にすむ。アメリカ豹 (ひょう) 。アメリカ虎 (とら) 。
麝香揚羽	アゲハチョウ科の昆虫。翅 (はね) はやや幅狭く、後ろ翅の突起が長くて黒色。雄は独特のにおいを出す。幼虫はウマノスズクサ科植物を食う。北海道・青森を除く日本各地に分布。《季 春》
麝香犬	ジャコウジカの別名。
麝香牛	ウシ科の哺乳類。一見、小形の野牛に似るが、分類上は羊やカモシカに近い。交尾期の雄は顔の臭腺から麝香に似たにおいを出す。アラスカ・カナダ北部からグリーンランドにかけてのツンドラ地帯にすむ。
麝香鹿	偶蹄 (ぐうてい) 目ジャコウジカ科の哺乳類。小形のシカで、雌雄とも角がない。雄は上あごの犬歯が長く、口の外から見える。下腹部に麝香腺がある。ネパール地方から中国・朝鮮半島にかけての森林にすむ。→麝香
麝香猫	食肉目ジャコウネコ科の哺乳類。体形はイタチに似て、吻 (ふん) が長く、毛色は灰黄褐色で黒斑が並び、長い尾には白と黒の輪模様がある。下腹部に麝香腺をもつ。夜行性。東南アジアに分布。
麝香鼠	トガリネズミ科の哺乳類。ジネズミに似て、吻 (ふん) が長い。体側の臭腺から悪臭を出す。東南アジアに分布。日本では鹿児島・沖縄などでみられる。
麝香羊	ジャコウウシの別名。
