石花	カメノテの古称。せい。〈和名抄〉
背赤後家蜘蛛	ヒメグモ科のクモ。雄は体長約3ミリで暗褐色。雌は体長約10ミリ、黒色または暗褐色で背面に赤色の模様がある。雌は強い毒をもつが、性質はおとなしい。オーストラリア原産で熱帯地方に分布。[補説]日本では沖縄以外に生息しないとされていたが、平成7年（1995）に大阪で発見。以降、本州・四国・九州地方でも確認された。特定外来生物に指定されている。
セイウチ	鰭脚(ききゃく)目セイウチ科の哺乳類。北極海にすみ、体長約3.8メートル、体重約3トンに達する。2本の牙(きば)が雌雄ともにあり、雄では1メートルにも達する。貝を主食とする。[補説]「海象」「海馬」とも書く。
青紅鳥	カエデチョウ科の鳥。スズメより小形で、羽色は青・緑・赤色からなる。東南アジアに分布。飼い鳥として知られる。
せいご	スズキの幼魚で、全長約20センチの当歳魚または2歳魚の呼び名。《季 秋》
西施乳	《美味なことを西施の乳にたとえたもの》フグの別名。
背高鷸	チドリ目セイタカシギ科の鳥。全長32センチくらい。脚は淡紅色できわめて長く、体は上面が黒く、下面が白い。ユーラシアに分布。日本には春秋に少数が渡来。
せいてい	ヤンマの別名。
せいふ	１ カゲロウの別名。２ （「青鳧」とも書く）銭のこと。   「一百―常に杖の頭(はし)に懸けたり」〈三教指帰・上〉 
青蜂	膜翅(まくし)目セイボウ科の昆虫の総称。小形ないし中形のハチで、硬い皮膚をもち、青藍・赤紫・赤緑色などで金属光沢がある。イラガセイボウはイラガの幼虫に体外寄生し、ほかはすべて他のハチの幼虫に寄生する。
西洋蜜蜂	膜翅(まくし)目ミツバチ科の昆虫。黄色地に黒色の縞模様がある。社会性昆虫で、木のうろや洞穴などに巣を作り集団で生息する。ヨーロッパ・アフリカ原産だが、日本を含む世界各地で養蜂(ようほう)に利用される。
青鸞	キジ科の鳥。クジャク大で、全身細かい斑点のある褐色。次列・三列風切り羽は飾り羽となり美しい眼状紋が並ぶ。東南アジアに分布。近縁のカンムリセイランは飾り羽がより長く、ともに鳳凰(ほうおう)のモデルといわれる。
蜻蛉	昆虫トンボの別名。
背黄青鸚哥	インコ科の鳥。オーストラリアの原産で、野生種の羽色は緑色であるが飼い鳥にして改良されたものには白・黄・青色などのものがある。雄の鼻の付近は青色で、雌は繁殖期に黄色となる。
石鼠	昆虫ケラの別名。
