無角牛	角のない牛の品種。肉牛・乳牛に多い。
昔蜥蜴	ムカシトカゲ科の爬虫(はちゅう)類。全長約60センチ。中生代に栄えた喙頭(かいとう)類とよぶ一群の、唯一の現存種。背にたてがみ状に突起が並び、頭頂部に退化した第3の目をもつ。ニュージーランド北島に分布。
昔蜻蛉	トンボ目ムカシトンボ科の昆虫。日本特産。体長約5センチ。体は黒色で黄斑があり、前翅(まえばね)と後ろ翅は同形で、原始的な形を残す。幼虫は山間の渓流にすむ。
百足	唇脚綱の節足動物のうち、ゲジ類を除いたものの総称。体長0.5～15センチ。体は細長く、多数の体節に分かれ、各体節に一対ずつ歩脚をもつ。口には鉤(かぎ)状の牙と毒腺とがある。落ち葉や土の中にすみ、小動物を捕食。大形のトビズムカデやアオズムカデにかまれると激痛がある。《季 夏》「百足出づ海荒るる夜に堪へがたく／誓子」
麦蒔き	１ 麦の種をまくこと。《季 冬》「麦蒔きや百まで生きる㒵(かほ)ばかり／蕪村」２ ヒタキ科キビタキ属の鳥。全長13センチくらい。雄は上面が黒く、目の後方と翼に白斑があり、胸が赤褐色。雌は上面が褐色、胸が淡赤褐色。日本では旅鳥として春と秋にみられる。こつばめ。
麦藁鯛	産卵後のマダイ。麦の穂が実るころに漁獲される。《季 夏》「草の戸に麦藁鯛の奢(おご)りかな／冬葉」
麦藁蜻蛉	シオカラトンボの雌。腹部が麦藁の色に似るところからいう。
椋	１ ムクノキのこと。また、その実。《季 実＝秋》２ ムクドリのこと。《季 秋》
椋鳥	１㋐ムクドリ科の鳥。全長24センチくらい。くちばしと脚が橙黄色、背面は黒褐色で、顔に不規則な白斑があり、飛ぶと白い腰が目立つ。大群をつくり、リャーリャーと鳴く。昆虫や果実を食べる。日本では大部分が留鳥。白頭翁。むく。《季 秋》「椋鳥のこぼれ残りし梢かな／立子」㋑スズメ目ムクドリ科の鳥の総称。旧大陸に百数種が分布。コムクドリ・ホシムクドリなどや九官鳥が含まれる。２ 田舎から都会に出て来た人をあざけっていう語。おのぼりさん。   「町からは毎日毎日ポン引(ぴき)が―を引張って来る」〈漱石・坑夫〉 
土竜	モグラの別名。
土竜	モグラの別名。
潜り	１ 「もぐり」に同じ。〈和英語林集成〉２ カイツブリの別名。
無鉤条虫	条虫の一種。人間を終結宿主とする寄生虫。体長4～10メートル。頭部に鉤(かぎ)がない。四つの球状の吸盤で人の腸壁に吸いつき、障害を起こす。中間宿主はウシ。肉の生食により感染。かぎなしさなだ。
