湯浴み海綿	モクヨクカイメンの別名。
夕顔瓢箪	エビガラスズメの別名。
夕顔別当	エビガラスズメの別名。
有鉤条虫	条虫の一種。体長約3メートル。体はひも状で片節の数は約900個あり、頭部の前端に大小の鉤 (かぎ) 状の突起が環状に並ぶ。人間を終結宿主とし、腸内に寄生。中間宿主である豚肉を生食すると感染する。かぎさなだ。
木綿付け鳥	《昔、世の中が乱れたとき、鶏に木綿 (ゆう) をつけて都の四境の関所で祓 (はらえ) をしたところから。「ゆうつげどり」「ゆうづけどり」とも》鶏の別名。 「逢坂の―にあらばこそ君がゆききをなくなくも見め」〈古今・恋四〉
幽霊烏賊	ユウレイイカ科のイカ。全体に細長く、外套 (がいとう) 長は約25センチ。体は寒天質で軟らかく、ひれは小さくて円形。深海にすみ、発光する。
幽霊蜘蛛	１ ユウレイグモ科のクモの総称。体長3～5ミリで脚が著しく長い。草の間や天井裏に不規則な棚状の網を張る。２ ザトウムシの俗称。
雪兎	１ 盆などの上に、雪でウサギの形を作り、ユズリハを耳に、ナンテンの実を目にしたもの。《季 冬》２ ウサギ科の哺乳類。ノウサギよりひとまわり大きく、北海道からシベリア・モンゴル・北ヨーロッパにかけて分布。夏毛は褐色で、冬毛は耳の先が黒いほかは全身真っ白。
雪豹	ネコ科の哺乳類。体長1.2メートル、尾長93センチくらい。ヒョウに似て、灰白色の地に梅花状の黒斑があり、尾は太い。ヒマラヤ地方の山岳地帯に生息する。
雪虫	１ 雪国で、早春の積雪上に現れて活動する昆虫。セッケイカワゲラ・ユキガガンボなど。２ 北海道や東北地方で、雪の降りだす季節に現れる小さな昆虫。リンゴワタムシなど。体に白い分泌物をつけて群れて飛び、雪が舞うように見える。わたむし。《季 冬》
湯鯉	スズキ目ユゴイ科の魚。河川の中流から汽水域にかけて生息し、全長約25センチ。体は側扁し、目が大きく、銀白色で黒点が散在する。南日本から熱帯にかけて分布。静岡県伊東市の温泉の湧出する浄ノ池が北限として知られた。
揺蚊	双翅 (そうし) 目ユスリカ科の昆虫の総称。カに似るが吸血しない。体長約5ミリ。夕方群れ飛び、蚊柱をつくる。幼虫はアカムシ・アカボウフラといい、釣りの餌にする。セスジユスリカ・アカムシユスリカなど。
土蜂	アナバチの古名。〈和名抄〉
柚坊	アゲハチョウ・カラスアゲハ・クロアゲハなどの幼虫。ユズ・カラタチなどの葉を食べて育ち、初め黒色で、成長すると緑色になり、触れると頭の後ろから黄色や朱色の肉角を出す。
指猿	アイアイの別名。
ゆむし	ユムシ綱の環形動物。海底の泥砂中にU字状の穴を掘ってすむ。体長10～30センチ。体は乳白色の円筒状で、吻 (ふん) は短く、環節はないが、体表に小突起が並ぶ。タイなどの釣りの餌にする。ユムシ綱には吻の長いサナダユムシなども含まれ、すべて海産。あかなまこ。いむし。いい。ゆ。
百合鴎	１ カモメ科の鳥。全長約40センチ。くちばしと脚が赤く、冬羽は全体に白いが、夏羽では頭部が黒褐色になる。ユーラシアに分布。日本では冬鳥として各地の海岸・内湾・川などでふつうにみられる。和歌によまれ、古来著名な隅田川の「都鳥 (みやこどり) 」はこの種をさす。《季 冬》「海光の風にかたむく百合鴎／信子」２ （ゆりかもめ）東京の新橋から豊洲までの14.7キロを結ぶ、コンピューター制御による無人運転電車。平成7年（1995）11月新橋－有明間で開業。平成18年（2006）3月に豊洲まで延長開通。株式会社ゆりかもめ（開業時は東京臨海新交通株式会社）が運営。路線名は、東京臨海新交通臨海線。
ユーグレナ	ミドリムシの別名。
