螻蛄	ケラのこと。
浪人鰺	アジ科の海水魚。全長1メートル以上になるものが多い。体は側扁し、体高が高く頭部がやや張り出す。日本南部からインドにかけての太平洋沿岸域に生息。食用。
鱸魚	スズキのこと。→山の神3
六六鱗	《一条にうろこが36枚並んでいるところから》鯉 (こい) の別名。六六魚。
ロコ貝	《ロコ（loco）はチリでの俗称》アッキガイ科の巻き貝。貝殻は平たい楕円形で、殻口が大きくアワビに似る。チリからペルーにかけての沿岸部にすみ、食用とされる。あわびもどき。
ロシアンブルー	家猫の一品種。毛は短く、下毛も密生し明るい青色。目は緑色。性格は温厚であまり鳴かない。北ヨーロッパの原産。
ろっぺん鳥	ウミガラスの別名。
六放海綿	六放海綿綱の海綿動物の総称。体は管状などで、骨片は珪酸質からなり、三軸性の六放射状が基本。深海に産し、ホッスガイ・カイロウドウケツなどがある。
六放珊瑚	花虫綱六放サンゴ亜綱の腔腸 (こうちょう) 動物の総称。ポリプの胃腔の隔壁と触手とが6またはその倍数となるもの。イソギンチャク・イシサンゴなど。
驢馬	ウマ科の哺乳類。肩高約1.2メートル。体形は馬に似るが、たてがみは立っていて耳が長く、尾の先に房毛をもつ。乾燥地に生息。野生種アフリカノロバが古代エジプト時代から家畜化され、改良の途中でアジアノロバも関与したと考えられる。体は頑丈で粗食・労役に耐える。ドンキー。うさぎうま。
ロビン	ヒタキ科ヨーロッパコマドリ属の鳥。コマドリと同じ大きさで、羽色も似て、上面が緑褐色、顔から胸が赤く、腹は白い。ヨーロッパの森林に分布し、ヨーロッパコマドリともいう。英国では人家付近にもみられ、国鳥。北アメリカでは同科別種のコマツグミをいい、ツグミ大で上面が褐色、胸から腹が赤い。
ロブスター	アカザエビ科の甲殻類。体長約65センチ。体形はイセエビに似て、青色の地に白い斑があり、はさみは巨大で力が強い。ヨーロッパ大西洋岸および地中海に分布。食用。オマール。うみざりがに。
ロリス	霊長目ロリス科の一群の哺乳類。子猫大の原猿で、尾はなく、目が大きい。樹上で暮らし、夜行性。動作はふだんは緩慢。昆虫や葉・実などを食べる。東南アジア産のスローロリス、スリランカ産のスレンダーロリスなど。道化猿。のろまざる。けっかい。
ロンサムジョージ	《「ひとりぼっちのジョージ」の意》ガラパゴス諸島ピンタ島の固有種であるピンタゾウガメの個体につけられた愛称。同種としては地球上で最後の一頭であったことからの名。推定年齢は100歳以上とされたが、2012年に死んだことでピンタゾウガメは絶滅。
ローランドゴリラ	低地に生息するゴリラのかつての亜種名。低地ゴリラ。→ニシローランドゴリラ →ヒガシローランドゴリラ
ローラーカナリア	《(和)roller＋canary》カナリアの一品種。鈴を転がすような美しい声で鳴く。
