トイプードル	犬の一品種。プードルのうち最も小形の品種で、体高約27センチ。
杜宇	ホトトギスの別名。
唐冠貝	トウカムリガイ科の巻き貝。貝殻は塊状で、殻高約30センチ。殻口は縁が大きく広がり冠状となる。本州中部以南の暖海に分布。殻を置き物やカメオの材料に用いる。せんねんがい。とうかむり。
東京山椒魚	サンショウウオ科の両生類。体長8～13センチ、背面が暗褐色。福島県東部から平野部を除く関東地方に分布。1月中旬から3月ごろ、止水中に半月形の卵嚢(らんのう)を二つ産む。
闘魚	キノボリウオ科の淡水魚。全長6センチくらい。体は長楕円形で側扁し、青緑色。雄は闘争性が強い。東南アジアの原産。観賞用熱帯魚として品種改良が行われ、背びれ・尾びれ・しりびれが大きく体色も赤・白・青などのものがある。ベタ。《季 夏》「こひびとを待ちあぐむらし闘魚の辺／草城」
唐水母	ビゼンクラゲの別名。
藤九郎	アホウドリの別名。
藤五郎鰯	スズキ目トウゴロウイワシ科の海水魚。全長約15センチ。体は長紡錘形で、うろこが硬くてはがれにくい。本州中部以南の沿岸表層を群泳。
灯心蜻蛉	イトトンボの別名。とうすみとんぼ。
灯心蜻蛉	イトトンボの別名。
灯心蜻蛉	イトトンボの別名。
盗賊鴎	１ トウゾクカモメ科の鳥。全長約50センチ。他の海鳥を襲いえさを横取りしたり、鳥の卵やひな、小動物を食べる。北極圏で繁殖し、冬には南半球まで渡る。２ チドリ目トウゾクカモメ科の鳥の総称。北極圏に、オオトウゾクカモメ・トウゾクカモメ・クロトウゾクカモメ・シロハラトウゾクカモメの4種、南極圏に、ナミオオトウゾクカモメ・ナンキョクオオトウゾクカモメの2種が生息する。
東天紅	［副］《東の空が紅(あか)くなる意の漢字を当てたもの》夜明けを知らせる鶏の鳴き声を表す語。   「竹林の外に―を唱う鶏の声聞いて」〈露伴・いさなとり〉 ［名］鶏の一品種。長鳴き鶏(どり)の一。高知県で作り出された。
当年	１ この年。今年。本年。「当年とって二〇歳」２ その年。その当時。３ シギ科の鳥。全長約15センチと小形。夏羽は頭・くびと背中が赤褐色、腹は白色。冬羽は背面が灰褐色。シベリアで繁殖、日本には春・秋に渡来し、干潟でみられる。
東北野兎	ノウサギの一亜種。体長約50センチ、尾が短い。体毛は茶色で、冬に白色に変わる。本州に分布。えちごうさぎ。
唐丸	１ ニワトリの一品種。長鳴き鶏(どり)の一。羽色は一般に黒色で、新潟県で作り出された。２ 「唐丸籠(かご)」の略。
蜥蜴	有鱗(ゆうりん)目スキンク科の爬虫(はちゅう)類。体長約20センチ。胴が円筒形で、体鱗(たいりん)は滑らか。体色は暗褐色で、縦縞がある。幼体は黒地に黄白色の縦縞が走り、尾は青色。尾は自切するとすぐに再生する。ニホントカゲ。《季 夏》「出て遊ぶ蜥蜴に日蔭なかりけり／虚子」
とからうし	⇒口之島牛
とからうま	吐噶喇列島にすむ在来馬。体高約1メートル。天然記念物。
尖鼠	食虫目トガリネズミ科トガリネズミ属の哺乳類の総称。ハツカネズミより小形。ネズミとは歯列が異なり、口先が細長くとがる。目や耳は小さい。北半球に約50種が分布。
鴇	ペリカン目トキ科の鳥。全長77センチくらいで、淡紅色を帯びた白色。顔と脚が赤く、頭に冠羽があり、くちばしは黒く、下方に曲がる。水田や湿地でタニシ・ドジョウ・サワガニなどを捕食。巣は高い木の上に作る。東アジアに分布。日本では明治中ごろまで各地に生息したが、野生のものは絶滅。特別天然記念物。国際保護鳥。学名、ニッポニア・ニッポン。トキ科にはクロトキ・ショウジョウトキなども含まれる。《季 秋》[補説]「鵇」は国字。佐渡島では平成20年（2008）より人工繁殖した成体を放鳥する活動が行われており、平成24年（2012）には野生下での孵化(ふか)・巣立ちも確認された。
トキソプラズマ	原生動物の一種。人間を含む哺乳類・鳥類に寄生する。→トキソプラズマ症
時告げ鳥	《時刻を告げるところから》ニワトリの別名。   「明け方の―ともろともに起きよとたたく水鶏(くひな)なりけり」〈為忠集〉 
蠹魚	１ 昆虫シミの別名。２ 本ばかり読んでいる人。また、本を読んでもその真意を理解できない者をあざけっていう語。書蠧(しょと)。
